haul.id;Country;Ship;Gear;Year;SweepLngt;Depth;Fishing line;Size.final..m;Horizontal.opening..m.;Swep.one.side..after.formula…meter;Swept.area;RSA;GroundSpeed;RS
2002:1:DEN:DAN2:TVL:111:44;DEN;DAN2;TVL;2002;75;64;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:114:45;DEN;DAN2;TVL;2002;75;86;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:118:47;DEN;DAN2;TVL;2002;75;76;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.7;1.11
2002:1:DEN:DAN2:TVL:120:48;DEN;DAN2;TVL;2002;75;67;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:123:49;DEN;DAN2;TVL;2002;75;79;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:127:51;DEN;DAN2;TVL;2002;75;63;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:130:53;DEN;DAN2;TVL;2002;75;43;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:132:54;DEN;DAN2;TVL;2002;75;26;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2002:1:DEN:DAN2:TVL:133:55;DEN;DAN2;TVL;2002;75;50;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:14:8;DEN;DAN2;TVL;2002;75;42;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
2002:1:DEN:DAN2:TVL:16:9;DEN;DAN2;TVL;2002;75;45;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:19:11;DEN;DAN2;TVL;2002;75;46;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:22:13;DEN;DAN2;TVL;2002;75;45;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:26:15;DEN;DAN2;TVL;2002;75;83;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:28:16;DEN;DAN2;TVL;2002;75;92;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:3:2;DEN;DAN2;TVL;2002;75;44;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:32:18;DEN;DAN2;TVL;2002;75;73;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
2002:1:DEN:DAN2:TVL:34:19;DEN;DAN2;TVL;2002;75;73;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:36:20;DEN;DAN2;TVL;2002;75;93;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:37:21;DEN;DAN2;TVL;2002;75;86;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:39:22;DEN;DAN2;TVL;2002;75;73;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:42:23;DEN;DAN2;TVL;2002;75;74;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2002:1:DEN:DAN2:TVL:45:25;DEN;DAN2;TVL;2002;75;63;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:48:27;DEN;DAN2;TVL;2002;75;62;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:51:28;DEN;DAN2;TVL;2002;75;84;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:53:29;DEN;DAN2;TVL;2002;75;71;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:55:30;DEN;DAN2;TVL;2002;75;77;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:57:31;DEN;DAN2;TVL;2002;75;68;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2002:1:DEN:DAN2:TVL:59:32;DEN;DAN2;TVL;2002;75;89;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:63:34;DEN;DAN2;TVL;2002;75;71;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:1:DEN:DAN2:TVL:8:4;DEN;DAN2;TVL;2002;75;42;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:DAN2:TVL:96:35;DEN;DAN2;TVL;2002;75;84;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
2002:1:DEN:DAN2:TVL:98:36;DEN;DAN2;TVL;2002;75;85;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:1:DEN:HAF:TVS:8584:18;DEN;HAF;TVS;2002;60;24;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.6;1.15
2002:1:DEN:HAF:TVS:8585:19;DEN;HAF;TVS;2002;60;17;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.4;1.25
2002:1:DEN:HAF:TVS:8586:20;DEN;HAF;TVS;2002;60;21;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.4;1.25
2002:1:DEN:HAF:TVS:8596:30;DEN;HAF;TVS;2002;60;22;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:1:DEN:HAF:TVS:8597:31;DEN;HAF;TVS;2002;60;14;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2002:1:DEN:HAF:TVS:8598:32;DEN;HAF;TVS;2002;60;21;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:1:DEN:HAF:TVS:8599:33;DEN;HAF;TVS;2002;60;38;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:1:DEN:HAF:TVS:8600:34;DEN;HAF;TVS;2002;60;16;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:1:DEN:HAF:TVS:8601:35;DEN;HAF;TVS;2002;60;35;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.9;1.03
2002:1:DEN:HAF:TVS:8602:36;DEN;HAF;TVS;2002;60;21;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.2;1.36
2002:1:DEN:HAF:TVS:8603:37;DEN;HAF;TVS;2002;60;23;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.6;1.15
2002:1:DEN:HAF:TVS:8604:38;DEN;HAF;TVS;2002;60;33;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.7;1.11
2002:1:DEN:HAF:TVS:8605:39;DEN;HAF;TVS;2002;60;28;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:1:DEN:HAF:TVS:8606:40;DEN;HAF;TVS;2002;60;17;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:1:DEN:HAF:TVS:8607:41;DEN;HAF;TVS;2002;60;18;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:1:DEN:HAF:TVS:8608:42;DEN;HAF;TVS;2002;60;12;33.22;53.31568541;22.2574;15.52914271;0.297501525;1.53;2.8;1.07
2002:4:DEN:DAN2:TVL:10:4;DEN;DAN2;TVL;2002;75;58;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2002:4:DEN:DAN2:TVL:13:6;DEN;DAN2;TVL;2002;75;53;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:16:8;DEN;DAN2;TVL;2002;75;61;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:18:9;DEN;DAN2;TVL;2002;75;43;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:20:10;DEN;DAN2;TVL;2002;75;58;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:22:11;DEN;DAN2;TVL;2002;75;90;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:25:12;DEN;DAN2;TVL;2002;75;78;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
2002:4:DEN:DAN2:TVL:27:13;DEN;DAN2;TVL;2002;75;71;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:29:14;DEN;DAN2;TVL;2002;75;35;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:33:16;DEN;DAN2;TVL;2002;75;85;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:36:17;DEN;DAN2;TVL;2002;75;85;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:38:18;DEN;DAN2;TVL;2002;75;56;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:4:1;DEN;DAN2;TVL;2002;75;66;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:40:19;DEN;DAN2;TVL;2002;75;66;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:42:20;DEN;DAN2;TVL;2002;75;78;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:44:21;DEN;DAN2;TVL;2002;75;63;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:45:22;DEN;DAN2;TVL;2002;75;67;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:48:23;DEN;DAN2;TVL;2002;75;44;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:50:24;DEN;DAN2;TVL;2002;75;59;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2002:4:DEN:DAN2:TVL:54:25;DEN;DAN2;TVL;2002;75;74;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:6:2;DEN;DAN2;TVL;2002;75;66;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2002:4:DEN:DAN2:TVL:60:26;DEN;DAN2;TVL;2002;75;55;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2002:4:DEN:DAN2:TVL:65:29;DEN;DAN2;TVL;2002;75;26;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2002:4:DEN:DAN2:TVL:67:30;DEN;DAN2;TVL;2002;75;24;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
