N;FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
983;1996;1996-10-30 16:50;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4563;58 14,399;18 14,180;58 15,890;18 12,359;30;3.5;1.8;327;;;;115;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1996.204;5814.399;1814.18;58.24;18.236;0;0;0;;0;0;;0;;0.9
984;1990;1990-10-23 21:40;Y4RA;ERNST HAECKEL;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4565;58 16,000;20 20,000;;;30;4.2;2.1;;95;75;;85;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;15;10;;;;;;Valid;Y4RA.1990.208;5816;2020;58.267;20.333;0;0;0;;0;0;;0;;0.7
985;1999;1999-11-17 07:42;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3858;54 57,399;13 15,599;54 56,000;13 15,500;31;3;1.53;183;46;46;;46;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;28;;Calibration;SEPI.1999.638;5457.399;1315.599;54.957;13.26;56.97079453;186.9120555;42.476928;208;14.49386653;47.55205553;183.7270341;0.317897033;1.43;1
986;1998;1998-11-24 14:02;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 00,600;13 55,199;55 00,100;13 58,500;30;3.8;1.9;105;;;;42;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1998.699;5500.6;1355.199;55.01;13.92;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.8
987;1999;1999-03-05 06:28;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 12,899;13 38,300;55 12,600;13 35,099;30;3.6;1.8;261;;;;45;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;;Valid;SEPI.1999.211;5512.899;1338.3;55.215;13.638;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.8
988;1983;1983-03-22 13:30;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 13,800;13 36,300;55 12,400;13 31,700;60;3.1;3.1;265;43;43;;43;319;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR COD;0;0;;;;;;135;;Valid;SEPI.1983.79;5513.8;1336.3;55.23;13.605;86.21842218;282.8688392;16.33728;80;69.88114218;229.2688392;885.8267717;0.481098796;0.94;1
989;1993;1993-03-22 06:10;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);3959;55 27,299;14 44,000;55 27,000;14 39,099;60;2.9;2.9;260;;;;71;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;50;;Valid;SEPI.1993.83;5527.299;1444;55.455;14.733;58.55646451;192.1143849;32.67456;160;25.88190451;84.91438488;328.0839895;0.326745072;1.39;1
990;1995;1995-02-28 06:21;SEPI;ARGOS;;Research vessel;6;BITS;23;Sub-23 (Öresund);4057;55 56,500;12 41,599;55 58,100;12 41,300;30;3.5;1.8;360;;;;31;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;DAN greens botten;7;90;40;Valid;SEPI.1995.58;5556.5;1241.599;55.942;12.693;79.26198812;260.0458928;32.67456;160;46.58742812;152.8458928;590.5511811;0.442281894;1.03;0.9
991;2008;2008-11-25 09:06;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 38,401;14 37,570;55 39,337;14 39,609;30;3;1.5;51;61;58;;60;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;ADDITIONAL VALID STATIONS NOT USED FOR INDEX CALCULATIONS;SEPI.2008.729;5538.401;1437.57;55.64;14.626;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
992;2003;2003-11-27 10:22;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 39,190;14 39,240;55 38,280;14 37,180;30;3;1.49;231;58;61;;59;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2003.748;5539.19;1439.24;55.653;14.654;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
