N;FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
4728;2002;2002-02-28 09:03;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 39,910;14 58,979;55 40,390;15 01,680;31;3.2;1.61;73;67;63;;65;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2002.192;5539.91;1458.979;55.665;14.983;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;0.9
4729;1997;1997-02-24 06:38;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 58,299;15 24,599;55 57,200;15 21,900;30;3.7;1.75;233;;;;47;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;235;;Valid;SEPI.1997.174;5558.299;1524.599;55.972;15.41;138.5948792;454.7076089;16.949928;83;121.6449512;399.0976089;1541.994751;0.773359426;0.59;0.8
4730;2002;2002-02-26 14:48;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 49,580;15 25,949;55 48,950;15 23,489;30;3.1;1.55;246;52;54;;53;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2002.185;5549.58;1525.949;55.826;15.432;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4731;2009;2009-03-05 12:42;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 48,346;15 17,182;55 49,274;15 19,177;30;3;1.49;51;55;54;;55;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;;;75;;Valid;SEPI.2009.255;5548.346;1517.182;55.806;15.286;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4732;2004;2004-03-11 15:48;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 47,160;15 13,120;55 46,430;15 10,840;30;3;1.51;241;54;56;;55;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;50;;Calibration;SEPI.2004.270;5547.16;1513.12;55.786;15.219;68.35883251;224.2743849;42.476928;208;25.88190451;84.91438488;328.0839895;0.381442285;1.19;1
4733;1984;1984-10-01 16:00;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4060;55 52,500;15 54,000;55 52,000;15 51,000;30;3.9;2;270;;;;47;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1984.121;5552.5;1554;55.875;15.9;0;0;0;;0;0;;0;;0.8
4734;1990;1990-10-08 11:15;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4060;55 44,299;15 53,199;55 44,029;15 56,599;30;4.2;2.2;80;;;;66;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1990.203;5544.299;1553.199;55.738;15.887;0;0;0;;0;0;;0;;0.7
4735;1993;1993-08-19 09:25;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 48,990;15 24,969;55 48,049;15 23,000;30;3.1;1.7;250;;;;52;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;50;40;Valid;SEPI.1993.177;5548.99;1524.969;55.817;15.416;58.55646451;192.1143849;32.67456;160;25.88190451;84.91438488;328.0839895;0.326745072;1.39;1
4736;1985;1985-10-09 18:30;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4061;55 37,400;16 17,600;55 37,200;16 14,700;30;4.4;2.2;999;;;;81;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1985.179;5537.4;1617.6;55.623;16.293;0;0;0;;0;0;;0;;0.7
4737;1999;1999-03-10 09:12;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4061;55 34,700;16 24,699;55 33,899;16 27,500;30;3.5;1.74;115;;;;71;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;110;;Calibration;SEPI.1999.228;5534.7;1624.699;55.578;16.412;89.61474992;294.0116467;32.67456;160;56.94018992;186.8116467;721.7847769;0.500050305;0.91;0.9
4738;1999;1999-11-23 14:31;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4062;55 52,000;17 40,099;55 50,700;17 41,400;27;3.3;1.48;999;;;;60;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1999.660;5552;1740.099;55.867;17.668;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.9
4739;1993;1993-11-29 07:05;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4062;55 56,000;17 02,400;55 55,700;17 05,000;30;2.8;1.4;100;;;;46;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;18;Valid;SEPI.1993.249;5556;1702.4;55.933;17.04;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;1.1
4740;2012;2012-02-20 08:41;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4062;55 57,100;17 35,580;55 58,500;17 35,200;30;2.9;1.41;352;58;57;;57;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;OXBH.2012.29;5557.1;1735.58;55.952;17.593;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4741;2009;2009-03-04 11:43;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4162;56 05,276;17 25,185;56 04,466;17 22,843;30;3.1;1.55;238;40;41;;41;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2009.250;5605.276;1725.185;56.088;17.42;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4742;1981;1981-10-15 07:40;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4162;56 22,500;17 18,800;56 29,500;17 17,800;30;5.2;2.6;999;;;;47;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1981.132;5622.5;1718.8;56.375;17.313;0;0;0;;0;0;;0;;0.6
4743;2010;2010-03-09 08:54;SEPI;ARGOS;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4163;56 27,362;18 40,231;56 28,629;18 41,658;30;3;1.5;32;75;74;;75;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2010.245;5627.362;1840.231;56.456;18.671;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4744;2014;2014-02-17 09:11;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4262;56 57,630;17 11,160;56 56,160;17 10,450;30;3.1;1.54;195;71;73;;72.3;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;ADDITIONAL VALID STATIONS NOT USED FOR INDEX CALCULATIONS;OXBH.2014.38;5657.63;1711.16;56.961;17.186;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4745;2000;2000-10-12 20:28;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4262;56 54,129;17 10,150;56 52,490;17 11,540;30;3.7;1.8;154;73;70;;71;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;108;;Valid;SEPI.2000.513;5654.129;1710.15;56.902;17.169;0;0;0;;0;0;;0;;0.8
4746;2010;2010-10-20 05:16;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4262;56 42,573;17 36,572;56 45,479;17 38,078;55;3.3;3;16;85;87;;86;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2010.618;5642.573;1736.572;56.71;17.61;0;0;0;;0;0;;0;;0.9
4747;1994;1994-03-01 10:52;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 27,500;17 05,500;57 28,899;17 03,500;30;3.9;1.95;340;;;;64;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;18;Valid;SEPI.1994.53;5727.5;1705.5;57.458;17.092;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;0.8
4748;2001;2001-11-20 07:15;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 01,149;17 57,160;56 59,589;17 56,939;30;3.1;1.62;184;67;65;;66;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2001.591;5701.149;1757.16;57.019;17.953;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4749;1991;1991-11-27 08:18;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 02,370;18 49,420;57 05,669;18 50,390;60;3.4;3.4;10;;;;62;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1991.248;5702.37;1849.42;57.04;18.824;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.9
4750;1998;1998-03-05 14:18;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 22,529;19 11,209;57 21,200;19 09,430;30;3.5;1.75;214;84;80;;82;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1998.230;5722.529;1911.209;57.375;19.187;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.9
4751;1989;1989-10-29 15:28;Y4RB;EISBÄR;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 06,000;19 08,000;;;30;3.4;1.7;;;;;141;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;60;43;;;;;;Valid;Y4RB.1989.85;5706;1908;57.1;19.133;0;0;0;;0;0;;0;;0.9
4752;1994;1994-03-08 16:01;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4365;57 12,100;20 34,199;57 13,200;20 36,400;30;3.2;1.6;50;;;;101;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;;Valid;SEPI.1994.70;5712.1;2034.199;57.202;20.57;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;0.9
4753;1989;1989-08-15 05:15;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4365;57 13,299;20 43,099;57 16,200;20 43,300;60;2.9;2.9;360;;;;78;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1989.175;5713.299;2043.099;57.222;20.718;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;1
4754;2006;2006-11-22 08:04;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4464;57 52,370;19 29,940;57 51,220;19 28,010;30;3.1;1.54;222;69;66;;67;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2006.680;5752.37;1929.94;57.873;19.499;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4755;1989;1989-10-27 01:40;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4562;58 02,600;17 11,400;58 04,600;17 10,699;30;3.7;1.9;999;;;;65;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1989.279;5802.6;1711.4;58.043;17.19;0;0;0;;0;0;;0;;0.8
4756;2005;2005-10-06 12:42;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4562;58 07,110;17 52,500;58 06,820;17 49,420;30;3.3;1.8;260;180;152;;166;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2005.524;5807.11;1752.5;58.119;17.875;0;0;0;;0;0;;0;;0.9
4757;1986;1986-10-23 02:50;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4565;58 05,700;20 13,400;58 06,200;20 10,699;30;4.2;2.1;999;;;;126;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1986.237;5805.7;2013.4;58.095;20.223;0;0;0;;0;0;;0;;0.7
4758;1979;1979-10-10 07:50;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;29S;Sub-29S (Skärgårdshavet, S 59.30);4765;59 21,000;20 26,000;59 19,200;20 22,000;30;4.2;2.1;225;60;70;;65;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;40;30;;;;;;Valid;SEPI.1979.79;5921;2026;59.35;20.433;0;0;0;;0;0;;0;;0.7
4759;2008;2008-09-24 15:18;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;30;Sub-30 (Bottenhavet);5365;62 07,673;20 29,486;62 07,594;20 25,807;30;3.5;1.7;270;98;101;;96;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PEL. TR. 3.2 M 6MM;0;0;;;;DAN greens flyt;6;;18;Valid;SEPI.2008.547;6207.673;2029.486;62.128;20.491;0;0;0;;0;0;;0;;0.9
4760;1989;1989-10-21 13:55;SQAC;PROFESOR SIEDLECKI;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);3764;54 28,000;19 21,000;;;60;3.6;3.6;;;;;66;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;;;;;;;;Valid;SQAC.1989.35;5428;1921;54.467;19.35;0;0;0;;0;0;;0;;0.8
4761;1987;1987-10-01 04:00;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3957;55 06,000;12 56,199;55 05,700;12 53,900;30;3.2;1.6;250;;;;30;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1987.149;5506;1256.199;55.1;12.937;0;0;0;;0;0;;0;;0.9
4762;2001;2001-10-22 09:50;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3958;55 00,160;13 57,540;55 00,859;13 54,449;31;3.7;1.9;291;47;47;;47;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2001.555;5500.16;1357.54;55.003;13.959;0;0;0;;0;0;;0;;0.8
4763;1984;1984-10-02 10:50;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3959;55 27,000;14 42,000;55 27,000;14 45,000;20;4.5;1.5;90;;;;70;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1984.124;5527;1442;55.45;14.7;0;0;0;;0;0;;0;;0.7
4764;1985;1985-10-04 22:45;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3960;55 14,900;15 34,900;55 15,900;15 35,300;45;3.5;2.6;999;;;;98;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1985.165;5514.9;1534.9;55.248;15.582;0;0;0;;0;0;;0;;0.9
4765;1990;1990-10-11 02:46;Y4RA;ERNST HAECKEL;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);3963;55 06,000;18 11,000;;;30;4.2;2.1;;;;;68;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;42;38;;;;;;Valid;Y4RA.1990.169;5506;1811;55.1;18.183;0;0;0;;0;0;;0;;0.7
4766;2004;2004-03-16 09:25;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 37,410;14 42,920;55 37,130;14 45,560;30;3.1;1.56;101;67;71;;69;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2004.280;5537.41;1442.92;55.624;14.715;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4767;2004;2004-11-24 10:54;SEPI;ARGOS;;Research vessel;9;"Calibration of trawls 
";25;Sub-25 (Östersjön-Södra centrala V);4059;55 36,730;14 45,340;55 36,770;14 50,610;60;3;2.99;90;76;83;;79;323;OTM Otter trawl midwater;SELSTAD NORDTRAWL 1560 M;0;0;;;;DAN greens flyt;6;;;Calibration;SEPI.2004.750;5536.73;1445.34;55.612;14.756;0;0;0;;0;0;;0;;1
4768;2004;2004-03-18 12:56;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 57,950;15 24,290;55 56,430;15 24,070;30;3;1.56;184;46;45;;45;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;50;;Calibration;SEPI.2004.294;5557.95;1524.29;55.966;15.405;68.35883251;224.2743849;42.476928;208;25.88190451;84.91438488;328.0839895;0.381442285;1.19;1
4769;1991;1991-03-21 12:55;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 58,529;15 24,150;55 56,839;15 22,319;60;3.2;3.2;190;;;;48;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1991.93;5558.529;1524.15;55.975;15.403;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.9
4770;1986;1986-10-16 07:25;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4063;55 51,000;18 37,699;55 50,200;18 32,400;30;4.4;2.2;250;;;;117;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1986.219;5551;1837.699;55.85;18.628;0;0;0;;0;0;;0;;0.7
4771;1985;1985-10-15 10:35;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4064;55 37,400;19 09,800;55 38,400;19 10,200;20;3.9;1.3;15;;;;89;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1985.191;5537.4;1909.8;55.623;19.163;0;0;0;;0;0;;0;;0.8
4772;2003;2003-11-25 11:00;SEPI;ARGOS;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4163;56 09,690;18 20,070;56 08,310;18 19,040;30;2.9;1.5;203;74;79;;76;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2003.740;5609.69;1820.07;56.162;18.335;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4773;2006;2006-11-20 12:52;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4261;56 42,440;16 59,210;56 43,930;16 59,840;30;3.1;1.52;13;67;64;;65;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2006.666;5642.44;1659.21;56.707;16.987;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4774;2014;2014-10-04 18:16;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4261;56 34,240;16 52,500;56 32,460;16 52,230;30;3.6;1.8;185;66;68;68;67;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2014.21;5634.24;1652.5;56.571;16.875;0;0;0;;0;0;;0;;0.8
4775;1991;1991-08-20 04:41;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 05,149;17 16,489;57 06,720;17 15,959;30;3.1;1.6;360;;;;72;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1991.172;5705.149;1716.489;57.086;17.275;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;1
4776;2009;2009-02-26 18:44;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 03,845;18 50,043;57 02,424;18 49,240;30;3;1.5;197;65;68;;67;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;ADDITIONAL VALID STATIONS NOT USED FOR INDEX CALCULATIONS;SEPI.2009.236;5703.845;1850.043;57.064;18.834;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4777;1995;1995-12-06 15:03;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 09,879;18 49,099;57 10,549;18 52,099;30;3.6;1.8;68;;;;48;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;18;Valid;SEPI.1995.256;5709.879;1849.099;57.165;18.818;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.8
4778;1993;1993-12-01 13:29;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4464;57 54,600;19 26,599;57 51,899;19 25,300;60;3;3;999;;;;50;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;18;Valid;SEPI.1993.260;5754.6;1926.599;57.91;19.443;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;1
4779;1998;1998-03-05 10:36;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4464;57 50,740;19 31,469;57 48,990;19 32,000;30;3.6;1.82;170;78;84;;81;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1998.229;5750.74;1931.469;57.846;19.524;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.8
4780;2013;2013-10-06 23:15;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4562;58 03,916;17 16,666;58 04,198;17 19,988;31;3.5;1.8;84;60;70;;67.1;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;104;;Valid;OXBH.2013.32;5803.916;1716.666;58.065;17.278;0;0;0;;0;0;;0;;0.9
4781;2013;2013-10-05 00:49;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4563;58 11,685;18 41,814;58 13,731;18 43,482;41;3.3;2.2;22;103;102;;102.7;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;0;;;;;Tyborön VF 15;4;104;;Valid;OXBH.2013.14;5811.685;1841.814;58.195;18.697;0;0;0;;0;0;;0;;0.9
4782;2002;2002-03-06 15:32;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4564;58 00,169;19 32,630;57 58,740;19 33,420;30;3.1;1.53;165;70;71;;70;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2002.213;5800.169;1932.63;58.003;19.544;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
4783;1982;1982-10-19 10:40;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4566;58 21,000;21 07,000;58 23,000;21 05,000;30;5;2.5;999;;;;100;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1982.147;5821;2107;58.35;21.117;0;0;0;;0;0;;0;;0.6
