FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
2015;2015-03-06 09:35;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 06,420;18 07,460;56 05,920;18 04,930;30;3;2;251;56;56;;56;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.80;5606.42;1807.46;56.107;18.124;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-11-20 12:35;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 13,140;18 25,600;56 14,340;18 27,270;30;3;2;38;69;70;;71;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.11;5613.14;1825.6;56.219;18.427;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-11-22 13:34;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 464;57 42,310;19 08,730;57 43,150;19 10,530;25;3;1;50;40;43;;42;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.26;5742.31;1908.73;57.705;19.146;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-11-22 07:14;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 09,680;18 20,090;56 08,280;18 19,050;30;3;2;203;75;78;;77;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.15;5609.68;1820.09;56.161;18.335;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-10-10 03:15;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4 464;57 40,442;19 39,656;57 41,632;19 35,882;45;3;2;300;94;94;;96;321;OTM Otter trawl midwater;Fotö oneboat pelag floatstock.14;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2016.57;5740.442;1939.656;57.674;19.661;0;0;0;;0;0;;0;;0.9
2016;2016-11-27 09:05;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 059;55 41,110;14 30,290;55 42,030;14 32,400;30;3;2;52;50;45;;47;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.60;5541.11;1430.29;55.685;14.505;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-10-04 08:48;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4 562;58 25,078;17 50,044;58 25,886;17 54,918;45;4;3;73;99;131;136;117;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.38;5825.078;1750.044;58.418;17.834;0;0;0;;0;0;;0;;0.8
2016;2016-10-07 23:39;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;29S;Sub-29S (Skärgårdshavet, S 59.30);4 764;59 15,210;19 20,340;59 13,960;19 23,430;41;3;2;129;73;90;94;79;321;OTM Otter trawl midwater;Fotö oneboat pelag floatstock.14;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2016.39;5915.21;1920.34;59.254;19.339;0;0;0;;0;0;;0;;1
2016;2016-02-24 12:55;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 23,260;18 36,250;56 24,660;18 37,270;30;3;2;22;78;76;;78;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.34;5623.26;1836.25;56.388;18.604;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-03-05 09:45;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 161;56 29,000;16 57,400;56 27,500;16 58,000;30;3;2;;68;72;;70;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2015.73;5629;1657.4;56.483;16.957;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
